,cord1,cord2,cord3,cord4,cord5,cord6,cord7,cord8,center1,center2,angle,solution1,solution2
13,-98.50871844124373,29.4042753081684,-98.51010274756881,29.402273383703946,-98.50550624385829,29.399861744881907,-98.50412193753321,29.401863669346362,-98.50711234255101,29.402068526525156,1.0286652611700473,-98.507499,29.402387
14,-98.51044882706279,29.407570349919673,-98.51198611153855,29.40565499484695,-98.50758837483319,29.40297684850383,-98.50605109035742,29.40489220357655,-98.50901860094798,29.40527359921175,0.9606576570584737,-98.509438,29.405738
15,-98.51130620885303,29.40353247380434,-98.50915484852291,29.402136075252187,-98.50594865805954,29.40588402034086,-98.50810001838965,29.407280418893016,-98.50862743345628,29.404708247072602,2.501200063460683,-98.508504,29.404468
16,-98.49360258909716,29.43827087093009,-98.49613689820369,29.437503769145458,-98.494375599882,29.43308867826739,-98.49184129077548,29.43385578005202,-98.49398909448958,29.43567977459874,0.3344377271816446,-98.4941102,29.4357627
17,-98.50749421070115,29.40439167515837,-98.50649566303319,29.402222538962988,-98.5015152340771,29.40396213682373,-98.50251378174507,29.406131273019113,-98.50450472238913,29.40417690599105,1.9521546721981236,-98.505185,29.403678
18,-98.50688781204941,29.424651931880057,-98.50692604078017,29.422315140673025,-98.5015606687871,29.422248541330397,-98.50152244005633,29.424585332537433,-98.50422424041825,29.42345023660523,1.5565471215336004,-98.5042311,29.422758
19,-98.50743826337248,29.42743264366694,-98.5077173051804,29.425108289507627,-98.50238048917785,29.424622162958343,-98.50210144736992,29.42694651711765,-98.50490937627517,29.426027403312638,1.4666026328032105,-98.5050721,29.4263514
20,-98.48268200897024,29.394680058147653,-98.48025736652976,29.393679518894494,-98.47796008585242,29.397903556402035,-98.48038472829292,29.39890409565519,-98.48032104741134,29.396291807274842,2.6991761572484934,-98.480082,29.396235
21,-98.48700897349607,29.42958683504859,-98.48558317059764,29.427607132165434,-98.48103768858286,29.430091063330195,-98.4824634914813,29.43207076621335,-98.48402333103947,29.429838949189392,2.1310833750189153,-98.483912,29.430025
22,-98.50823929242884,29.402727552750054,-98.5104427650056,29.401394234510438,-98.50738140962257,29.39755550321727,-98.50517793704581,29.39888882145689,-98.50781035102571,29.40014152798366,0.607137185121669,-98.507464,29.400605
23,-98.50611856575962,29.404113405450847,-98.50878956028163,29.404333861847473,-98.50929573754411,29.399680647478643,-98.5066247430221,29.399460191082017,-98.50770715165186,29.401897026464745,6.188712915219328,-98.507459,29.401506
24,-98.48183514408493,29.41061986506439,-98.47950114447646,29.41177240862815,-98.48214743351554,29.41583853471917,-98.48448143312399,29.414685991155412,-98.48199128880022,29.41322919989178,3.657318308261499,-98.4823123,29.4128407
25,-98.49452321173868,29.430390495841323,-98.49662880383707,29.428942131562962,-98.49330329785627,29.425273920592716,-98.49119770575788,29.426722284871076,-98.49391325479748,29.42783220821702,0.6684191441623772,-98.493864,29.428232
26,-98.48631649882752,29.400593176568385,-98.48396020633463,29.399475580309026,-98.48139415779275,29.403580543458407,-98.48375045028563,29.40469813971777,-98.48385532831013,29.402086860013398,2.6429743641931953,-98.484152,29.401893
